,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed
0,1,2012-01-01,52.0,31.0,42.0,-1000.0,36.0,40.0,23.0,0.0,-1000,-1000,RA FZFG BR,-1000.0,0.05,29.78,29.92,3.6,20.0,4.6
1,2,2012-01-01,48.0,33.0,41.0,16.0,37.0,39.0,24.0,0.0,0716,1626,RA,0.0,0.07,28.82,29.91,9.1,23.0,11.3
2,3,2012-01-01,55.0,34.0,45.0,9.0,24.0,36.0,20.0,0.0,0735,1720, ,0.0,0.0,29.77,30.47,9.9,31.0,10.0
3,4,2012-01-01,63.0,47.0,55.0,4.0,28.0,43.0,10.0,0.0,0728,1742, ,0.0,0.0,29.79,30.48,8.0,35.0,8.2
4,6,2012-01-01,63.0,34.0,49.0,0.0,31.0,43.0,16.0,0.0,0727,1742, ,0.0,0.0,29.95,30.47,14.0,36.0,13.8
5,7,2012-01-01,50.0,33.0,42.0,-1000.0,26.0,35.0,23.0,0.0,-1000,-1000, ,0.0,0.0,29.15,30.54,10.3,32.0,10.2
6,8,2012-01-01,66.0,45.0,-1000.0,-1000.0,34.0,46.0,-1000.0,-1000.0,-1000,-1000,RA BR,-1000.0,0.0,30.05,-1000.0,11.0,36.0,10.9
7,9,2012-01-01,34.0,19.0,27.0,-1000.0,17.0,23.0,38.0,0.0,-1000,-1000,UP,-1000.0,-1000.0,29.34,30.09,22.8,30.0,22.5
8,10,2012-01-01,73.0,53.0,63.0,-1000.0,55.0,58.0,2.0,0.0,0723,1738,FG+ FG BR,-1000.0,0.0,30.16,30.19,5.1,24.0,5.5
9,11,2012-01-01,72.0,48.0,60.0,7.0,54.0,56.0,5.0,0.0,0724,1737,FG+ FG BR,0.0,0.0,30.15,30.18,4.6,23.0,4.8
10,12,2012-01-01,72.0,48.0,60.0,-1000.0,54.0,57.0,5.0,0.0,-1000,-1000,FG+ FG BR,0.0,0.0,30.15,30.19,4.4,25.0,4.8
11,13,2012-01-01,38.0,18.0,28.0,-1000.0,12.0,21.0,37.0,0.0,-1000,-1000, ,-1000.0,0.0,24.6,30.59,2.5,16.0,6.1
12,14,2012-01-01,50.0,34.0,42.0,5.0,25.0,35.0,23.0,0.0,0739,1729, ,0.0,0.0,29.13,30.52,11.4,32.0,11.3
13,15,2012-01-01,48.0,26.0,37.0,16.0,35.0,38.0,28.0,0.0,0718,1621,RA FG+ FZFG BR,0.0,0.09,29.53,29.89,2.5,17.0,3.8
14,16,2012-01-01,50.0,30.0,40.0,-1000.0,37.0,40.0,25.0,0.0,-1000,-1000,RA MIFG BR,-1000.0,-1000.0,29.8,29.89,4.2,21.0,6.8
15,17,2012-01-01,56.0,38.0,47.0,-1000.0,23.0,37.0,18.0,0.0,-1000,-1000, ,0.0,0.0,29.83,30.5,5.4,32.0,5.8
