,date,store_nbr,item_nbr,units,grain,day,wday,year,month,week,station_nbr,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,codesum_rev,extreme_weather,mild_weather
0,2012-01-01,15,45,108,15_45,1,6,2012,1,52,13,38.0,18.0,28.0,-503.8253585386188,12.0,21.0,37.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.6,30.59,2.5,16.0,6.1,"['SN', 'BR']",0,0
1,2012-01-02,15,45,160,15_45,2,0,2012,1,1,13,50.0,16.0,33.0,-503.8253585386188,17.0,28.0,32.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.55,30.54,6.1,16.0,6.8,"['SN', 'BR']",0,0
2,2012-01-03,15,45,128,15_45,3,1,2012,1,1,13,55.0,31.0,43.0,-503.8253585386188,16.0,33.0,22.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.4,30.23,2.9,21.0,6.3,"['SN', 'BR']",0,0
3,2012-01-04,15,45,100,15_45,4,2,2012,1,1,13,58.0,27.0,43.0,-503.8253585386188,16.0,32.0,22.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.49,30.36,5.5,19.0,6.1,"['SN', 'BR']",0,0
4,2012-01-05,15,45,103,15_45,5,3,2012,1,1,13,66.0,35.0,51.0,-503.8253585386188,21.0,37.0,14.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.26,30.04,4.2,21.0,5.0,"['SN', 'BR']",0,0
5,2012-01-06,15,45,112,15_45,6,4,2012,1,1,13,45.0,25.0,35.0,-503.8253585386188,22.0,31.0,30.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.21,30.01,3.6,12.0,6.2,"['SN', 'BR']",0,0
6,2012-01-07,15,45,171,15_45,7,5,2012,1,1,13,39.0,22.0,31.0,-503.8253585386188,23.0,27.0,34.0,0.0,-1000,-1000,-201.7534540748467,0.16,24.19,30.07,4.6,33.0,5.9,"['SN', 'FG', '+', 'FZ', 'FG', 'BR']",0,0
7,2012-01-08,15,45,175,15_45,8,6,2012,1,1,13,33.0,11.0,22.0,-503.8253585386188,15.0,20.0,43.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.32,30.29,3.8,18.0,4.6,"['SN', 'BR']",0,0
8,2012-01-09,15,45,111,15_45,9,0,2012,1,2,13,47.0,17.0,32.0,-503.8253585386188,19.0,27.0,33.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.37,30.31,3.4,18.0,3.9,"['SN', 'BR']",0,0
9,2012-01-10,15,45,78,15_45,10,1,2012,1,2,13,56.0,28.0,42.0,-503.8253585386188,24.0,33.0,23.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.13,29.96,4.1,16.0,4.5,"['SN', 'BR']",0,0
